CLASSIFICACAO, AVALIACOES, PORCENTAGEM(%)
MUITO RUIM, 28,31.5%
RUIM, 22,24.7%
MAIS OU MENOS, 6,6.7%
BOM, 19,21.3%
MUITO BOM, 14,15.7%
