CLASSIFICACAO, AVALIACOES, PORCENTAGEM(%)
MUITO RUIM, 31,27.9%
RUIM, 29,26.1%
MAIS OU MENOS, 24,21.6%
BOM, 11,9.9%
MUITO BOM, 16,14.4%
