CLASSIFICACAO, AVALIACOES, PORCENTAGEM(%)
MUITO RUIM, 0,0.0%
RUIM, 3,4.1%
MAIS OU MENOS, 8,10.8%
BOM, 27,36.5%
MUITO BOM, 36,48.6%
