CLASSIFICACAO, AVALIACOES, PORCENTAGEM(%)
MUITO RUIM, 14,17.7%
RUIM, 11,13.9%
MAIS OU MENOS, 13,16.5%
BOM, 23,29.1%
MUITO BOM, 18,22.8%
