CLASSIFICACAO, AVALIACOES, PORCENTAGEM(%)
MUITO RUIM, 13,12.5%
RUIM, 22,21.2%
MAIS OU MENOS, 20,19.2%
BOM, 22,21.2%
MUITO BOM, 27,26.0%
