CLASSIFICACAO, AVALIACOES, PORCENTAGEM(%)
MUITO RUIM, 13,14.1%
RUIM, 12,13.0%
MAIS OU MENOS, 18,19.6%
BOM, 22,23.9%
MUITO BOM, 27,29.3%
